link,newReference
http://dnd5e.wikidot.com/sorcerer:wild-magic,Wild Magic
http://dnd5e.wikidot.com/warlock:archfey,Archfey
http://dnd5e.wikidot.com/warlock:celestial,Celestial
http://dnd5e.wikidot.com/warlock:fiend,Fiend
http://dnd5e.wikidot.com/warlock:great-old-one,Great Old One
http://dnd5e.wikidot.com/warlock:hexblade,Hexblade
http://dnd5e.wikidot.com/warlock:kraken,Kraken (UA)
http://dnd5e.wikidot.com/warlock:lurker-in-the-deep-ua,Lurker in the Deep (UA)
http://dnd5e.wikidot.com/warlock:the-noble-genie-ua,Noble Genie (UA)
http://dnd5e.wikidot.com/warlock:raven-queen,Raven Queen (UA)
http://dnd5e.wikidot.com/warlock:seeker,Seeker (UA)
http://dnd5e.wikidot.com/warlock:undying,Undying
http://dnd5e.wikidot.com/wizard:abjuration,School of Abjuration
http://dnd5e.wikidot.com/wizard:bladesinger,School of Bladesinging
http://dnd5e.wikidot.com/wizard:conjuration,School of Conjuration
http://dnd5e.wikidot.com/wizard:divination,School of Divination
http://dnd5e.wikidot.com/wizard:enchantment,School of Enchantment
http://dnd5e.wikidot.com/wizard:evocation,School of Evocation
http://dnd5e.wikidot.com/wizard:illusion,School of Illusion
http://dnd5e.wikidot.com/wizard:invention,School of Invention (UA)
http://dnd5e.wikidot.com/wizard:lore-mastery,School of Lore Mastery (UA)
http://dnd5e.wikidot.com/wizard:necromancy,School of Necromancy
http://dnd5e.wikidot.com/wizard:school-of-onomancy-ua,School of Onomancy (UA)
http://dnd5e.wikidot.com/wizard:theurgy,School of Theurgy (UA)
http://dnd5e.wikidot.com/wizard:transmutation,School of Transmutation
http://dnd5e.wikidot.com/wizard:war-magic,School of War Magic
http://dnd5e.wikidot.com/adventuring-gear,Adventuring Gear
http://dnd5e.wikidot.com/armor,Armor and Shields
http://dnd5e.wikidot.com/weapons,Weapons
http://dnd5e.wikidot.com/wondrous-items,Wondrous Items
http://dnd5e.wikidot.com/currency,Coins and Gemstones
http://dnd5e.wikidot.com/feat:acrobat,Acrobat
http://dnd5e.wikidot.com/feat:actor,Actor
http://dnd5e.wikidot.com/feat:animal-handler,Animal Handler
http://dnd5e.wikidot.com/feat:alert,Alert
http://dnd5e.wikidot.com/feat:alchemist,Alchemist
http://dnd5e.wikidot.com/feat:arcanist,Arcanist
http://dnd5e.wikidot.com/feat:athlete,Athlete
http://dnd5e.wikidot.com/feat:blade-mastery,Blade Mastery
http://dnd5e.wikidot.com/feat:brawny,Brawny
http://dnd5e.wikidot.com/feat:burglar,Burglar
http://dnd5e.wikidot.com/feat:charger,Charger
http://dnd5e.wikidot.com/feat:crossbow-expert,Crossbow Expert
http://dnd5e.wikidot.com/feat:defensive-duelist,Defensive Duelist
http://dnd5e.wikidot.com/feat:diplomat,Diplomat
http://dnd5e.wikidot.com/feat:dual-wielder,Dual Wielder
http://dnd5e.wikidot.com/feat:dungeon-delver,Dungeon Delver
http://dnd5e.wikidot.com/feat:durable,Durable
http://dnd5e.wikidot.com/feat:empathic,Empathic
http://dnd5e.wikidot.com/feat:elemental-adept,Elemental Adept
http://dnd5e.wikidot.com/feat:fell-handed,Fell Handed
http://dnd5e.wikidot.com/feat:flail-mastery,Flail Mastery
http://dnd5e.wikidot.com/feat:gourmand,Gourmand
http://dnd5e.wikidot.com/feat:grappler,Grappler
http://dnd5e.wikidot.com/feat:great-weapon-master,Great Weapon Master
http://dnd5e.wikidot.com/feat:healer,Healer
http://dnd5e.wikidot.com/feat:heavily-armored,Heavily Armored
http://dnd5e.wikidot.com/feat:heavy-armor-master,Heavy Armor Master
http://dnd5e.wikidot.com/feat:historian,Historian
http://dnd5e.wikidot.com/feat:inspiring-leader,Inspiring Leader
http://dnd5e.wikidot.com/feat:investigator,Investigator
http://dnd5e.wikidot.com/feat:keen-mind,Keen Mind
http://dnd5e.wikidot.com/feat:lightly-armored,Lightly Armored
http://dnd5e.wikidot.com/feat:linguist,Linguist
http://dnd5e.wikidot.com/feat:lucky,Lucky
http://dnd5e.wikidot.com/feat:mage-slayer,Mage Slayer
http://dnd5e.wikidot.com/feat:magic-initiate,Magic Initiate
http://dnd5e.wikidot.com/feat:martial-adept,Martial Adept
http://dnd5e.wikidot.com/feat:master-of-disguise,Master of Disguise
http://dnd5e.wikidot.com/feat:medium-armor-master,Medium Armor Master
http://dnd5e.wikidot.com/feat:medic,Medic
http://dnd5e.wikidot.com/feat:menacing,Menacing
http://dnd5e.wikidot.com/feat:mobile,Mobile
http://dnd5e.wikidot.com/feat:moderately-armored,Moderately Armored
http://dnd5e.wikidot.com/feat:mounted-combatant,Mounted Combatant
http://dnd5e.wikidot.com/feat:naturalist,Naturalist
http://dnd5e.wikidot.com/feat:observant,Observant
http://dnd5e.wikidot.com/feat:perceptive,Perceptive
http://dnd5e.wikidot.com/feat:performer,Performer
http://dnd5e.wikidot.com/feat:polearm-master,Polearm Master
http://dnd5e.wikidot.com/feat:quick-fingered,Quick-Fingered
http://dnd5e.wikidot.com/feat:resilient,Resilient
http://dnd5e.wikidot.com/feat:ritual-caster,Ritual Caster
http://dnd5e.wikidot.com/feat:savage-attacker,Savage Attacker
http://dnd5e.wikidot.com/feat:sentinel,Sentinel
http://dnd5e.wikidot.com/feat:sharpshooter,Sharpshooter
http://dnd5e.wikidot.com/feat:shield-master,Shield Master
http://dnd5e.wikidot.com/feat:silver-tongued,Silver-Tongued
http://dnd5e.wikidot.com/feat:skilled,Skiller
http://dnd5e.wikidot.com/feat:skulker,Skulker
http://dnd5e.wikidot.com/feat:spear-mastery,Spear Mastery
http://dnd5e.wikidot.com/feat:spell-sniper,Spell Sniper
http://dnd5e.wikidot.com/feat:stealthy,Stealthy
http://dnd5e.wikidot.com/feat:survivalist,Survivalist
http://dnd5e.wikidot.com/feat:tavern-brawler,Tavern Brawler
http://dnd5e.wikidot.com/feat:theologian,Theologian
http://dnd5e.wikidot.com/feat:tough,Tough
http://dnd5e.wikidot.com/feat:war-caster,War Caster
http://dnd5e.wikidot.com/feat:weapon-master,Weapon Master
http://dnd5e.wikidot.com/feat:barbed-hide,Barbed Hide
http://dnd5e.wikidot.com/feat:bountiful-luck,Bountiful Luck
http://dnd5e.wikidot.com/feat:critter-friend,Critter Friend
http://dnd5e.wikidot.com/feat:dragon-fear,Dragon Fear
http://dnd5e.wikidot.com/feat:dragon-hide,Dragon Hide
http://dnd5e.wikidot.com/feat:dragon-wings,Dragon Wings
http://dnd5e.wikidot.com/feat:dwarven-resilience,Dwarven Resilience
http://dnd5e.wikidot.com/feat:drow-high-magic,Drow High Magic
http://dnd5e.wikidot.com/feat:elven-accuracy,Elven Accuracy
http://dnd5e.wikidot.com/feat:everybodys-friend,Everybody's Friend
http://dnd5e.wikidot.com/feat:fade-away,Fade Away
http://dnd5e.wikidot.com/feat:fey-teleportation,Fey Teleportation
http://dnd5e.wikidot.com/feat:flames-of-phlegethos,Flames of Phlegethos
http://dnd5e.wikidot.com/feat:grudge-bearer,Grudge Bearer
http://dnd5e.wikidot.com/feat:human-determination,Human Determination
http://dnd5e.wikidot.com/feat:infernal-constitution,Infernal Constitution
http://dnd5e.wikidot.com/feat:orcish-aggression,Orcish Aggression
http://dnd5e.wikidot.com/feat:orcish-fury,Orcish Fury
http://dnd5e.wikidot.com/feat:prodigy,Prodigy
http://dnd5e.wikidot.com/feat:second-chance,Second Chance
http://dnd5e.wikidot.com/feat:squat-nimbleness,Squat Nimbleness
http://dnd5e.wikidot.com/feat:svirfneblin-magic,Svirfneblin Magic
http://dnd5e.wikidot.com/feat:wonder-maker,Wonder Maker
http://dnd5e.wikidot.com/feat:wood-elf-magic,Wood Elf Magic
